Name,DIST,Z
SUB3,1217.989899,458
SUB3,1237.989899,457
SUB3,1257.989899,456
SUB3,1277.989899,456
SUB3,1306.27417,454
SUB3,1326.27417,453
SUB3,1346.27417,453
SUB3,1366.27417,453
SUB3,1386.27417,452
SUB3,1406.27417,452
SUB3,1426.27417,452
SUB3,1454.558441,450
SUB3,1474.558441,451
SUB3,1494.558441,451
SUB3,1522.842713,450
SUB3,1542.842713,448
SUB3,1571.126984,448
SUB3,1599.411255,450
SUB3,1619.411255,450
SUB3,1639.411255,449
SUB3,1659.411255,449
SUB3,1679.411255,448
SUB3,1699.411255,448
SUB3,1727.695526,448
SUB3,1747.695526,448
SUB3,1767.695526,446
SUB3,1787.695526,445
SUB3,1807.695526,445
SUB3,1827.695526,445
SUB3,1855.979798,443
SUB3,1875.979798,443
SUB3,1895.979798,442
SUB3,1915.979798,442
SUB3,1935.979798,440
SUB3,1955.979798,439
SUB3,1984.264069,439
SUB3,2012.54834,441
SUB3,2032.54834,441
SUB3,2060.832611,439
SUB3,2080.832611,439
SUB3,2109.116883,436
SUB3,2129.116883,436
SUB3,2157.401154,436
SUB3,2177.401154,436
SUB3,2205.685425,436
SUB3,2233.969696,435
SUB3,2253.969696,433
SUB3,2273.969696,432
SUB3,2293.969696,432
SUB3,2322.253967,431
SUB3,2342.253967,430
SUB3,2362.253967,430
SUB3,2382.253967,430
SUB3,2410.538239,430
SUB3,2430.538239,430
SUB3,2450.538239,430
SUB3,2470.538239,431
SUB3,2490.538239,431
SUB3,2518.82251,431
SUB3,2547.106781,430
SUB3,2567.106781,429
SUB3,2587.106781,429
SUB3,2615.391052,429
SUB3,2635.391052,428
SUB3,2655.391052,428
SUB3,2683.675324,427
SUB3,2711.959595,428
SUB3,2740.243866,428
SUB3,2768.528137,427
SUB3,2788.528137,425
SUB3,2816.812409,426
SUB3,2836.812409,426
SUB3,2856.812409,425
SUB3,2876.812409,424
SUB3,2896.812409,424
SUB3,2916.812409,423
SUB3,2936.812409,422
SUB3,2956.812409,422
SUB3,2976.812409,421
SUB3,2996.812409,421
SUB3,3016.812409,419
SUB3,3045.09668,419
SUB3,3065.09668,419
SUB3,3085.09668,418
SUB3,3105.09668,417
SUB3,3125.09668,417
SUB3,3153.380951,416
SUB3,3173.380951,416
SUB3,3193.380951,415
SUB3,3221.665222,415
SUB3,3241.665222,415
SUB3,3269.949494,415
SUB3,3298.233765,414
SUB3,3326.518036,413
SUB3,3346.518036,412
SUB3,3366.518036,410
SUB3,3386.518036,410
SUB3,3406.518036,409
SUB3,3434.802307,409
SUB3,3454.802307,410
SUB3,3474.802307,410
SUB3,3494.802307,410
SUB3,3523.086579,410
SUB3,3551.37085,410
SUB3,3579.655121,408
SUB3,3599.655121,409
SUB3,3627.939392,408
SUB3,3647.939392,408
SUB3,3676.223664,408
SUB3,3696.223664,408
SUB3,3724.507935,409
SUB3,3752.792206,409
